feature1,feature2,feature3,feature4,feature5,feature6,agent1,agent2,target
16,20,36,46,56,60,11,37,36
16,20,36,46,56,60,36,11,41
16,20,36,46,56,60,41,36,26
16,20,36,46,56,60,26,41,26
16,20,36,46,56,60,26,26,3
16,20,36,46,56,60,3,26,42
16,20,36,46,56,60,42,3,7
16,20,36,46,56,60,7,42,4
16,20,36,46,56,60,4,7,43
16,20,36,46,56,60,43,4,20
16,20,36,46,56,60,20,43,44
16,20,36,46,56,60,44,20,41
16,20,36,46,56,60,41,44,3
16,20,36,46,56,60,3,41,7
16,20,36,46,56,60,7,3,4
16,20,36,46,56,60,4,7,3
16,20,36,46,56,60,3,4,3
16,20,36,46,56,60,3,3,26
16,20,36,46,56,60,26,3,26
16,20,36,46,56,60,26,26,36
16,20,36,46,56,60,36,26,26
16,20,36,46,56,60,26,36,45
16,20,36,46,56,60,45,26,3
16,20,36,46,56,60,3,45,3
16,20,36,46,56,60,3,3,3
16,20,36,46,56,60,3,3,32
16,20,36,46,56,60,32,3,13
16,20,36,46,56,60,13,32,46
16,20,36,46,56,60,46,13,40
16,20,36,46,56,60,40,46,16
16,20,36,46,56,60,16,40,47
16,20,36,46,56,60,47,16,3
16,20,36,46,56,60,3,47,48
16,20,36,46,56,60,48,3,37
16,20,36,46,56,60,37,48,34
16,20,36,46,56,60,34,37,35
16,20,36,46,56,60,35,34,4
16,20,36,46,56,60,4,35,3
16,20,36,46,56,60,3,4,3
16,20,36,46,56,60,3,3,41
16,20,36,46,56,60,41,3,49
16,20,36,46,56,60,49,41,50
16,20,36,46,56,60,50,49,7
17,20,37,47,57,60,0,0,12
17,20,37,47,57,60,12,0,11
18,20,38,48,58,60,0,0,51
18,20,38,48,58,60,51,0,52
18,20,38,48,58,60,52,51,52
18,20,38,48,58,60,52,52,53
18,20,38,48,58,60,53,52,54
18,20,38,48,58,60,54,53,55
18,20,38,48,58,60,55,54,37
18,20,38,48,58,60,37,55,52
18,20,38,48,58,60,52,37,51
18,20,38,48,58,60,51,52,56
18,20,38,48,58,60,56,51,21
18,20,38,48,58,60,21,56,47
19,20,39,49,59,60,0,0,57
19,20,39,49,59,60,57,0,58
110,20,310,410,510,60,0,0,16
110,20,310,410,510,60,16,0,16
110,20,310,410,510,60,16,16,16
110,20,310,410,510,60,16,16,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,16
110,20,310,410,510,60,16,16,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,40
110,20,310,410,510,60,40,16,40
110,20,310,410,510,60,40,40,16
110,20,310,410,510,60,16,40,16
110,20,310,410,510,60,16,16,40
110,20,310,410,510,60,40,16,40
110,20,310,410,510,60,40,40,16
110,20,310,410,510,60,16,40,16
110,20,310,410,510,60,16,16,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,16
110,20,310,410,510,60,16,16,40
110,20,310,410,510,60,40,16,40
110,20,310,410,510,60,40,40,40
110,20,310,410,510,60,40,40,16
110,20,310,410,510,60,16,40,16
110,20,310,410,510,60,16,16,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,16
110,20,310,410,510,60,16,16,16
110,20,310,410,510,60,16,16,59
110,20,310,410,510,60,59,16,59
110,20,310,410,510,60,59,59,16
110,20,310,410,510,60,16,59,40
110,20,310,410,510,60,40,16,40
110,20,310,410,510,60,40,40,16
110,20,310,410,510,60,16,40,16
110,20,310,410,510,60,16,16,40
110,20,310,410,510,60,40,16,16
110,20,310,410,510,60,16,40,40
110,20,310,410,510,60,40,16,37
110,20,310,410,510,60,37,40,38
110,20,310,410,510,60,38,37,37
110,20,310,410,510,60,37,38,26
110,20,310,410,510,60,26,37,59
110,20,310,410,510,60,59,26,59
110,20,310,410,510,60,59,59,60
110,20,310,410,510,60,60,59,61
110,20,310,410,510,60,61,60,62
110,20,310,410,510,60,62,61,63
110,20,310,410,510,60,63,62,61
110,20,310,410,510,60,61,63,16
110,20,310,410,510,60,16,61,4
110,20,310,410,510,60,4,16,7
110,20,310,410,510,60,7,4,3
110,20,310,410,510,60,3,7,3
110,20,310,410,510,60,3,3,41
110,20,310,410,510,60,41,3,3
110,20,310,410,510,60,3,41,64
